Time,Zonghe,Gongyongshiye,Caijue,Shangyemaoyi,qinggongzhizao,Xinxifuwu,Jiaotongyunshu,Xinxishebei,Dianzzi,Shipinyinliao,Jinrongfuwu,Jiaoyunshebei,Canyinlvyou,Huagong,Jiayongdianqi,Nonglinmuyu,Fangdichan,Fangzhifuzhuang,Jixieshebei,Yousejinshu,Jianzhujiancai,Heisejinshu,Yiyaoshengwu,Guofangjungong,Gangtie
2022-07-22,1034.44,1528.64,780.05,746.91,1137.64,1537.44,1404.77,1546.84,2494.67,4407.85,1684.40,2042.76,3234.82,1413.13,2818.00,1696.94,1257.56,901.21,1299.06,924.16,1173.56,1097.65,1928.13,1617.07,2624.28
2022-07-21,1041.80,1520.29,780.68,746.04,1137.21,1547.27,1391.70,1559.04,2510.61,4409.35,1676.43,2026.97,3185.81,1424.15,2813.00,1700.90,1263.26,907.57,1294.71,929.26,1177.87,1107.80,1948.12,1620.95,2638.93
2022-07-20,1053.79,1541.08,801.30,749.40,1143.73,1555.30,1402.55,1575.94,2501.37,4449.57,1698.58,2052.03,3249.87,1445.57,2842.60,1722.33,1272.79,907.66,1307.86,938.35,1193.01,1117.67,1954.93,1651.78,2660.03
2022-07-19,1046.87,1546.58,799.15,746.24,1131.03,1546.15,1392.51,1561.27,2487.02,4424.19,1689.71,2029.37,3164.74,1437.67,2840.14,1716.11,1269.88,894.25,1290.72,927.80,1190.52,1110.44,1932.14,1579.96,2623.96
2022-07-18,1037.68,1558.55,796.16,742.77,1115.13,1512.75,1388.96,1540.53,2489.10,4421.20,1683.31,2023.22,3146.99,1424.79,2844.31,1714.70,1264.33,882.22,1300.77,924.24,1192.64,1113.13,1944.36,1568.91,2620.00
2022-07-15,1012.92,1511.84,770.18,733.40,1087.25,1468.19,1364.09,1510.04,2467.13,4434.17,1657.93,1992.75,3119.76,1394.07,2803.02,1711.24,1229.08,862.54,1280.73,901.59,1171.34,1094.95,1923.38,1564.07,2577.40
2022-07-14,1045.03,1536.05,775.63,755.10,1114.89,1501.94,1395.34,1540.01,2484.70,4437.31,1676.82,1988.30,3141.07,1415.87,2860.29,1742.31,1280.41,884.41,1296.05,918.02,1206.99,1131.61,1966.85,1586.54,2647.38
2022-07-13,1025.82,1570.04,776.98,753.02,1117.34,1508.16,1404.37,1525.36,2447.71,4462.12,1707.38,1958.38,3102.24,1414.18,2925.97,1749.88,1298.74,888.45,1278.66,917.50,1223.29,1144.66,1940.48,1550.44,2671.84
2022-07-12,1016.16,1551.65,781.94,749.22,1101.72,1502.47,1378.99,1510.89,2447.74,4438.68,1734.99,1949.12,3068.71,1406.74,2944.36,1743.48,1284.81,882.72,1255.02,915.11,1211.95,1143.23,1944.05,1558.64,2679.36
2022-07-11,1039.89,1544.99,776.95,755.21,1120.05,1522.81,1380.82,1527.65,2495.85,4466.72,1730.70,1987.99,3125.16,1417.55,2916.59,1770.78,1281.31,896.21,1264.61,932.99,1195.84,1135.35,1997.63,1581.55,2665.42
2022-07-08,1058.80,1527.84,796.82,757.51,1143.41,1549.47,1389.16,1570.32,2559.03,4555.98,1735.50,2040.70,3186.89,1447.15,2900.44,1789.97,1297.71,910.92,1278.29,961.71,1197.22,1150.58,1999.54,1599.66,2706.75
2022-07-07,1075.95,1519.65,798.88,759.45,1139.56,1553.40,1385.36,1560.39,2555.18,4530.49,1732.49,2065.13,3163.34,1462.61,2897.44,1800.51,1295.45,915.73,1293.39,965.68,1190.11,1159.33,1985.33,1623.79,2742.25
2022-07-06,1058.62,1499.17,793.43,755.77,1135.65,1552.35,1380.98,1559.89,2508.05,4555.65,1739.08,1993.60,3157.60,1452.27,2890.20,1789.20,1295.12,909.43,1267.83,952.75,1194.11,1158.08,2003.98,1593.28,2716.26
2022-07-05,1070.90,1502.64,833.12,770.44,1152.58,1571.01,1419.98,1586.19,2505.72,4648.69,1758.12,1995.98,3301.76,1488.85,2914.01,1836.59,1321.29,918.60,1283.49,976.03,1215.16,1178.27,2047.13,1610.09,2748.02
2022-07-04,1074.82,1493.72,810.01,776.40,1160.28,1595.17,1411.69,1591.83,2528.87,4657.12,1756.13,2018.81,3371.30,1475.76,2946.12,1831.52,1334.68,918.79,1285.25,972.30,1221.56,1154.67,2059.14,1620.54,2699.21
2022-07-01,1060.60,1466.62,806.41,773.62,1152.71,1581.36,1414.62,1593.15,2552.80,4681.06,1759.77,2008.22,3369.03,1463.24,2917.57,1728.46,1342.63,909.86,1269.32,958.51,1222.90,1154.63,1994.89,1576.23,2670.86
2022-06-30,1062.07,1428.75,807.86,774.51,1150.62,1595.70,1435.74,1599.22,2563.41,4717.41,1769.14,2011.81,3511.34,1456.26,2956.83,1725.25,1349.38,907.96,1269.28,948.98,1218.14,1142.07,1998.70,1581.52,2625.42
2022-06-29,1052.71,1431.39,805.53,761.22,1137.75,1591.28,1425.68,1591.86,2517.34,4579.65,1758.61,2021.53,3325.61,1441.83,2903.41,1688.42,1327.91,898.54,1247.34,937.31,1206.31,1142.09,1952.00,1574.05,2626.94
2022-06-28,1096.96,1438.97,811.91,778.76,1154.76,1608.73,1443.43,1607.79,2588.53,4616.11,1757.70,2127.09,3380.75,1471.40,2942.23,1739.61,1295.90,907.13,1292.39,972.43,1201.58,1160.14,1966.27,1621.25,2678.84
