Time,Price
2021-01-04,4427.17
2021-01-05,4500.05
2021-01-06,4531.03
2021-01-07,4596.24
2021-01-08,4583.65
2021-01-11,4535.55
2021-01-12,4652.82
2021-01-13,4631.53
2021-01-14,4552.34
2021-01-15,4543.32
2021-01-18,4600.83
2021-01-19,4534.49
2021-01-20,4578.75
2021-01-21,4651.20
2021-01-22,4665.44
2021-01-25,4703.64
2021-01-26,4605.89
2021-01-27,4618.56
2021-01-28,4494.09
2021-01-29,4465.96
2021-02-01,4514.36
2021-02-02,4582.39
2021-02-03,4566.21
2021-02-04,4548.07
2021-02-05,4536.55
2021-02-08,4607.83
2021-02-09,4711.96
2021-02-10,4802.66
2021-02-18,4780.67
2021-02-19,4792.24
2021-02-22,4656.68
2021-02-23,4642.57
2021-02-24,4528.64
2021-02-25,4539.83
2021-02-26,4431.71
2021-03-01,4509.66
2021-03-02,4455.98
2021-03-03,4534.49
2021-03-04,4392.58
2021-03-05,4380.99
2021-03-08,4230.77
2021-03-09,4132.89
2021-03-10,4155.38
2021-03-11,4262.84
2021-03-12,4276.51
2021-03-15,4185.25
2021-03-16,4217.92
2021-03-17,4241.16
2021-03-18,4278.29
2021-03-19,4178.05
2021-03-22,4220.65
2021-03-23,4178.08
2021-03-24,4110.96
2021-03-25,4114.05
2021-03-26,4206.36
2021-03-29,4212.69
2021-03-30,4251.91
2021-03-31,4216.39
2021-04-01,4269.28
2021-04-02,4310.64
2021-04-06,4297.88
2021-04-07,4269.95
2021-04-08,4278.59
2021-04-09,4223.16
2021-04-12,4146.19
2021-04-13,4142.73
2021-04-14,4185.85
2021-04-15,4163.57
2021-04-16,4181.45
2021-04-19,4280.53
2021-04-20,4277.15
2021-04-21,4288.31
2021-04-22,4287.06
2021-04-23,4323.78
2021-04-26,4280.54
2021-04-27,4290.46
2021-04-28,4318.46
2021-04-29,4349.62
2021-04-30,4327.55
2021-05-06,4281.21
2021-05-07,4220.25
2021-05-10,4220.44
2021-05-11,4238.93
2021-05-12,4261.96
2021-05-13,4218.48
2021-05-14,4307.72
2021-05-17,4371.96
2021-05-18,4372.87
2021-05-19,4363.53
2021-05-20,4372.90
2021-05-21,4335.14
2021-05-24,4356.91
2021-05-25,4478.62
2021-05-26,4478.24
2021-05-27,4500.02
2021-05-28,4489.14
2021-05-31,4517.11
2021-06-01,4524.31
2021-06-02,4476.61
2021-06-03,4448.88
2021-06-04,4475.54
2021-06-07,4474.73
2021-06-08,4434.56
2021-06-09,4438.23
2021-06-10,4478.70
2021-06-11,4445.49
2021-06-15,4395.90
2021-06-16,4315.55
2021-06-17,4347.09
2021-06-18,4359.41
2021-06-21,4360.61
2021-06-22,4388.50
2021-06-23,4417.98
2021-06-24,4415.70
2021-06-25,4479.44
2021-06-28,4493.21
2021-06-29,4448.30
2021-06-30,4485.60
2021-07-01,4476.63
2021-07-02,4360.54
2021-07-05,4372.60
2021-07-06,4365.26
2021-07-07,4423.02
2021-07-08,4391.34
2021-07-09,4384.12
2021-07-12,4450.51
2021-07-13,4462.60
2021-07-14,4412.56
2021-07-15,4468.03
2021-07-16,4418.77
2021-07-19,4424.65
2021-07-20,4423.62
2021-07-21,4468.13
2021-07-22,4479.74
2021-07-23,4428.06
2021-07-26,4306.00
2021-07-27,4163.06
2021-07-28,4163.24
2021-07-29,4258.03
2021-07-30,4233.18
2021-08-02,4332.28
2021-08-03,4316.65
2021-08-04,4372.78
2021-08-05,4352.12
2021-08-06,4334.66
2021-08-09,4373.28
2021-08-10,4415.93
2021-08-11,4405.59
2021-08-12,4375.08
2021-08-13,4353.50
2021-08-16,4336.66
2021-08-17,4242.29
2021-08-18,4287.76
2021-08-19,4274.79
2021-08-20,4207.21
2021-08-23,4272.60
2021-08-24,4319.81
2021-08-25,4336.25
2021-08-26,4261.43
2021-08-27,4284.23
2021-08-30,4280.87
2021-08-31,4276.29
2021-09-01,4293.12
2021-09-02,4307.12
2021-09-03,4278.62
2021-09-06,4356.41
2021-09-07,4414.33
2021-09-08,4397.99
2021-09-09,4406.89
2021-09-10,4440.31
2021-09-13,4426.80
2021-09-14,4375.43
2021-09-15,4347.61
2021-09-16,4276.29
2021-09-17,4304.44
2021-09-22,4284.70
2021-09-23,4307.06
2021-09-24,4295.58
2021-09-27,4285.68
2021-09-28,4290.27
2021-09-29,4230.70
2021-09-30,4276.70
2021-10-08,4308.67
2021-10-11,4307.32
2021-10-12,4251.25
2021-10-13,4307.09
2021-10-14,4297.14
2021-10-15,4322.52
2021-10-18,4296.79
2021-10-19,4334.37
2021-10-20,4325.83
2021-10-21,4333.26
2021-10-22,4344.06
2021-10-25,4371.67
2021-10-26,4359.47
2021-10-27,4314.54
2021-10-28,4274.58
2021-10-29,4324.08
2021-11-01,4314.45
2021-11-02,4276.66
2021-11-03,4262.50
2021-11-04,4303.16
2021-11-05,4271.67
2021-11-08,4288.13
2021-11-09,4300.72
2021-11-10,4274.96
2021-11-11,4333.34
2021-11-12,4329.99
2021-11-15,4310.55
2021-11-16,4299.42
2021-11-17,4317.73
2021-11-18,4286.81
2021-11-19,4333.82
2021-11-22,4372.70
2021-11-23,4368.44
2021-11-24,4365.00
2021-11-25,4350.55
2021-11-26,4330.05
2021-11-29,4333.53
2021-11-30,4325.82
2021-12-01,4328.44
2021-12-02,4328.94
2021-12-03,4368.87
2021-12-06,4342.52
2021-12-07,4340.90
2021-12-08,4408.82
2021-12-09,4459.58
2021-12-10,4453.65
2021-12-13,4477.37
2021-12-14,4447.37
2021-12-15,4412.43
2021-12-16,4436.65
2021-12-17,4369.07
2021-12-20,4297.83
2021-12-21,4331.34
2021-12-22,4339.21
2021-12-23,4362.94
2021-12-24,4328.12
2021-12-27,4324.70
2021-12-28,4359.05
2021-12-29,4303.84
2021-12-30,4336.94
2021-12-31,4359.68
2022-01-04,4330.60
2022-01-05,4271.09
2022-01-06,4242.13
2022-01-07,4230.77
2022-01-10,4246.54
2022-01-11,4205.13
2022-01-12,4252.98
2022-01-13,4179.61
2022-01-14,4156.00
2022-01-17,4194.67
2022-01-18,4226.80
2022-01-19,4189.89
2022-01-20,4205.32
2022-01-21,4168.03
2022-01-24,4180.60
2022-01-25,4075.67
2022-01-26,4102.71
2022-01-27,4015.18
2022-01-28,3970.08
2022-02-07,4031.51
2022-02-08,4015.29
2022-02-09,4060.63
2022-02-10,4049.54
2022-02-11,4010.14
2022-02-14,3972.48
2022-02-15,4021.37
2022-02-16,4035.34
2022-02-17,4050.10
2022-02-18,4070.32
2022-02-21,4063.47
2022-02-22,4016.99
2022-02-23,4072.02
2022-02-24,3991.44
2022-02-25,4030.87
2022-02-28,4044.43
2022-03-01,4067.41
2022-03-02,4036.56
2022-03-03,4007.34
2022-03-04,3959.18
2022-03-07,3839.23
2022-03-08,3747.57
2022-03-09,3706.09
2022-03-10,3773.49
2022-03-11,3790.67
2022-03-14,3679.33
2022-03-15,3508.61
2022-03-16,3653.90
2022-03-17,3722.64
2022-03-18,3748.63
2022-03-21,3751.08
2022-03-22,3745.09
2022-03-23,3764.93
2022-03-24,3740.68
2022-03-25,3674.76
2022-03-28,3652.57
2022-03-29,3638.16
2022-03-30,3737.70
2022-03-31,3701.42
2022-04-01,3741.02
2022-04-06,3724.30
2022-04-07,3670.26
2022-04-08,3681.33
2022-04-11,3560.08
2022-04-12,3624.31
2022-04-13,3585.78
2022-04-14,3633.54
2022-04-15,3623.76
2022-04-18,3614.51
2022-04-19,3593.58
2022-04-20,3530.84
2022-04-21,3449.39
2022-04-22,3454.38
2022-04-25,3264.38
2022-04-26,3224.18
2022-04-27,3336.89
2022-04-28,3352.76
2022-04-29,3447.86
2022-05-05,3455.03
2022-05-06,3370.61
2022-05-09,3354.98
2022-05-10,3397.19
2022-05-11,3446.94
2022-05-12,3437.00
2022-05-13,3463.11
2022-05-16,3441.73
2022-05-17,3484.91
2022-05-18,3473.26
2022-05-19,3486.41
2022-05-20,3551.87
2022-05-23,3543.04
2022-05-24,3445.58
2022-05-25,3471.91
2022-05-26,3487.17
2022-05-27,3490.22
2022-05-30,3519.03
2022-05-31,3574.40
2022-06-01,3568.19
2022-06-02,3584.17
2022-06-06,3661.74
2022-06-07,3670.86
2022-06-08,3703.43
2022-06-09,3660.45
2022-06-10,3721.52
2022-06-13,3691.11
2022-06-14,3716.13
2022-06-15,3750.09
2022-06-16,3733.56
2022-06-17,3784.27
2022-06-20,3803.37
2022-06-21,3789.28
2022-06-22,3738.79
2022-06-23,3807.65
2022-06-24,3854.08
2022-06-27,3896.98
2022-06-28,3940.95
2022-06-29,3871.03
2022-06-30,3930.91
2022-07-01,3917.23
2022-07-04,3951.33
2022-07-05,3945.42
2022-07-06,3887.40
2022-07-07,3906.16
2022-07-08,3885.50
2022-07-11,3819.86
2022-07-12,3781.46
2022-07-13,3787.88
2022-07-14,3797.62
2022-07-15,3737.04
2022-07-18,3779.76
2022-07-19,3767.66
2022-07-20,3791.56
2022-07-21,3749.55
2022-07-22,3741.04
