,Total
2021-01-04,1
2021-01-05,1.016461983614815
2021-01-06,1.0234596819186976
2021-01-07,1.0381891818023705
2021-01-08,1.0353453786504698
2021-01-11,1.024480650167037
2021-01-12,1.0509693551410948
2021-01-13,1.0461604139890721
2021-01-14,1.0282731406293413
2021-01-15,1.0262357216912836
2021-01-18,1.039225961505883
2021-01-19,1.0242412195601251
2021-01-20,1.0342385767883318
2021-01-21,1.0506034328927958
2021-01-22,1.0538199346309265
2021-01-25,1.0624484715969795
2021-01-26,1.0403689038369883
2021-01-27,1.0432307772233729
2021-01-28,1.0151157511457658
2021-01-29,1.0087618049453715
2021-02-01,1.019694296808119
2021-02-02,1.0350607724573488
2021-02-03,1.031406067532984
2021-02-04,1.027308641863764
2021-02-05,1.0247065280980854
2021-02-08,1.0408071070232225
2021-02-09,1.0643277759833032
2021-02-10,1.0848149043294024
2021-02-18,1.079847848625646
2021-02-19,1.082461256287877
2021-02-22,1.051841243954942
2021-02-23,1.0486541063478476
2021-02-24,1.0229198336634917
2021-02-25,1.0254474077119242
2021-02-26,1.00102548580696
2021-03-01,1.0186326705321909
2021-03-02,1.006507543193507
2021-03-03,1.0242412195601251
2021-03-04,0.9921868823650322
2021-03-05,0.9895689571441799
2021-03-08,0.955637574342074
2021-03-09,0.9335286424510465
2021-03-10,0.9386086371203273
2021-03-11,0.9628814795907995
2021-03-12,0.9659692309082326
2021-03-15,0.9453556109207463
2021-03-16,0.9527350429281007
2021-03-17,0.9579844460456679
2021-03-18,0.9663712936254989
2021-03-19,0.9437292898171971
2021-03-22,0.9533516896798631
2021-03-23,0.9437360661551284
2021-03-24,0.928575139423153
2021-03-25,0.9292731022300929
2021-03-26,0.95012389404518
2021-03-29,0.951553701348717
2021-03-30,0.9604126338044393
2021-03-31,0.9523894496935966
2021-04-01,0.9643361334667518
2021-04-02,0.973678444694918
2021-04-06,0.970796242294739
2021-04-07,0.9644874716805543
2021-04-08,0.9664390570048135
2021-04-09,0.9539186432867949
2021-04-12,0.9365328189339917
2021-04-13,0.9357512812925638
2021-04-14,0.9454911376793755
2021-04-15,0.9404585773756148
2021-04-16,0.9444972747827619
2021-04-19,0.9668772601910476
2021-04-20,0.9661137927841036
2021-04-21,0.968634590494605
2021-04-22,0.9683522430807944
2021-04-23,0.9766464807088953
2021-04-26,0.9668795189703581
2021-04-27,0.9691202280463591
2021-04-28,0.9754448101157172
2021-04-29,0.9824831664471884
2021-04-30,0.977498040508948
2021-05-06,0.9670308571841603
2021-05-07,0.9532613385074435
2021-05-10,0.9533042553143426
2021-05-11,0.9574807382594297
2021-05-12,0.9626827070114767
2021-05-13,0.9528615345694877
2021-05-14,0.9730188811362563
2021-05-17,0.9875292794268121
2021-05-18,0.9877348283440661
2021-05-19,0.985625128468073
2021-05-20,0.9877416046819973
2021-05-21,0.9792124540056061
2021-05-24,0.9841298165645319
2021-05-25,1.0116214195524451
2021-05-26,1.0115355859386466
2021-05-27,1.016455207276883
2021-05-28,1.0139976553870753
2021-05-31,1.020315461118502
2021-06-01,1.0219417822220513
2021-06-02,1.0111674049110375
2021-06-03,1.0049038098830627
2021-06-04,1.0109257155248157
2021-06-07,1.0107427544006662
2021-06-08,1.001669237910448
2021-06-09,1.0024982099173958
2021-06-10,1.0116394897869287
2021-06-11,1.004138083696808
2021-06-15,0.9929367970961126
2021-06-16,0.9747875053363655
2021-06-17,0.9819116952816352
2021-06-18,0.9846945113921527
2021-06-21,0.9849655649094108
2021-06-22,0.9912653004063537
2021-06-23,0.9979241818136635
2021-06-24,0.9974091801308729
2021-06-25,1.0118066394559044
2021-06-28,1.0149169785664425
2021-06-29,1.0047728006830543
2021-06-30,1.0131980475111635
2021-07-01,1.0111719224696585
2021-07-02,0.9849497534542377
2021-07-05,0.9876738413026829
2021-07-06,0.9860158972887868
2021-07-07,0.9990626065861483
2021-07-08,0.9919067937305316
2021-07-09,0.9902759550683613
2021-07-12,1.0052719909106715
2021-07-13,1.008002855097048
2021-07-14,0.9966999234273808
2021-07-15,1.009229372262641
2021-07-16,0.9981026253791919
2021-07-19,0.999430787613757
2021-07-20,0.9991981333447771
2021-07-21,1.009251960055746
2021-07-22,1.0118744028352191
2021-07-23,1.0002010313586327
2021-07-26,0.9726303710948524
2021-07-27,0.9403433796307795
2021-07-28,0.9403840376583682
2021-07-29,0.9617950067424558
2021-07-30,0.9561819401559006
2021-08-02,0.978566443122807
2021-08-03,0.975035971060519
2021-08-04,0.9877144993302714
2021-08-05,0.9830478612748094
2021-08-06,0.9791040325987025
2021-08-09,0.9878274382957956
2021-08-10,0.9974611320550143
2021-08-11,0.9951255542479728
2021-08-12,0.9882340185716829
2021-08-13,0.9833595728196562
2021-08-16,0.9795557884607995
2021-08-17,0.9582396881077523
2021-08-18,0.9685103576325277
2021-08-19,0.9655807208668286
2021-08-20,0.9503158902865708
2021-08-23,0.9650860481978325
2021-08-24,0.9757497453226324
2021-08-25,0.9794631785090697
